[2025/04/22 12:40:57] - Namespace(model='ResNet18', batch_size=512, data_dir='./data', epochs=110, lr_schedule='multistep', milestone1=100, milestone2=105, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, seed=0, save_epoch=1, inner_gamma=0.15, outer_gamma=0.15, beta=0.6, lamda=0.65, batch_m=0.75, epsilon=8, alpha=8, delta_init='random', out_dir='TDAT_CIFAR100', log='CIFAR100.log')
[2025/04/22 12:42:03] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc 	 FGSM Loss 	 FGSM Acc 	 C&W Loss 	 C&W Acc
[2025/04/22 15:41:11] - 45 	 88.0 	 	 0.1000 	 32.4657 	 	 4.2335 	 0.3999 	 3.2794 	 	 0.4344 	 3.4971 	 0.2568 	 3.4652 	 0.3080 	 3.4417 	 0.2173
[2025/04/22 15:45:14] - 46 	 95.5 	 	 0.1000 	 32.8314 	 	 4.2399 	 0.4047 	 3.3503 	 	 0.4230 	 3.5614 	 0.2486 	 3.5311 	 0.2954 	 3.5105 	 0.2101
[2025/04/22 15:49:06] - 47 	 87.7 	 	 0.1000 	 33.1878 	 	 4.2480 	 0.4099 	 3.3394 	 	 0.4353 	 3.5582 	 0.2496 	 3.5282 	 0.2991 	 3.5054 	 0.2090
[2025/04/22 15:52:58] - 48 	 88.0 	 	 0.1000 	 33.5452 	 	 4.2562 	 0.4151 	 3.2832 	 	 0.4356 	 3.5101 	 0.2566 	 3.4765 	 0.3098 	 3.4546 	 0.2138
[2025/04/22 15:56:52] - 49 	 86.8 	 	 0.1000 	 33.8933 	 	 4.2619 	 0.4213 	 3.2739 	 	 0.4421 	 3.5003 	 0.2606 	 3.4643 	 0.3146 	 3.4428 	 0.2172
[2025/04/22 16:00:47] - 50 	 91.1 	 	 0.1000 	 34.2529 	 	 4.2677 	 0.4260 	 3.2782 	 	 0.4476 	 3.5120 	 0.2601 	 3.4759 	 0.3129 	 3.4540 	 0.2182
[2025/04/22 16:04:43] - 51 	 87.5 	 	 0.1000 	 34.5910 	 	 4.2762 	 0.4291 	 3.3552 	 	 0.4414 	 3.5805 	 0.2603 	 3.5452 	 0.3095 	 3.5286 	 0.2181
[2025/04/22 16:08:30] - 52 	 87.3 	 	 0.1000 	 34.9346 	 	 4.2816 	 0.4366 	 3.3289 	 	 0.4508 	 3.5625 	 0.2608 	 3.5246 	 0.3145 	 3.5058 	 0.2170
[2025/04/22 16:12:17] - 53 	 86.8 	 	 0.1000 	 35.2635 	 	 4.2915 	 0.4387 	 3.3367 	 	 0.4390 	 3.5649 	 0.2554 	 3.5290 	 0.3098 	 3.5099 	 0.2176
[2025/04/22 16:16:03] - 54 	 86.0 	 	 0.1000 	 35.5997 	 	 4.2957 	 0.4455 	 3.3509 	 	 0.4485 	 3.5775 	 0.2570 	 3.5437 	 0.3115 	 3.5232 	 0.2158
